,material_id,band_gap,is_gap_direct,symmetry.crystal_system
32734,mp-bxcrv,0.7490000000000001,False,monoclinic
32735,mp-brwac,1.732899999999999,True,orthorhombic
32736,mp-bqxju,2.7880000000000003,False,triclinic
32737,mp-bqxoa,3.4936,False,monoclinic
32738,mp-brcxz,2.984099999999999,True,monoclinic
32739,mp-brccq,0.06369999999999901,False,tetragonal
32740,mp-bsiki,1.423699999999999,False,monoclinic
32741,mp-brszu,1.3485,False,monoclinic
32742,mp-bfvhg,2.176599999999999,False,orthorhombic
32743,mp-bqvro,2.770299999999999,False,tetragonal
32744,mp-bracw,3.2568,False,orthorhombic
32745,mp-brfwg,3.350099999999999,False,orthorhombic
32746,mp-brsdg,3.0944,True,orthorhombic
32747,mp-bsbxv,3.1485,False,orthorhombic
32748,mp-bskvq,2.882399999999999,False,orthorhombic
32749,mp-bskxh,3.222,False,orthorhombic
32750,mp-bskyg,2.946599999999999,False,trigonal
32751,mp-bsnup,2.919199999999999,False,monoclinic
32752,mp-bspqj,3.1369,False,monoclinic
32753,mp-bvhqz,2.9566,False,monoclinic
32754,mp-bwile,2.8527,False,orthorhombic
32755,mp-bwkpa,2.9222,False,monoclinic
32756,mp-bqzyr,0.557399999999999,False,tetragonal
32757,mp-bwznd,3.0925,False,monoclinic
32758,mp-bggeb,1.158499999999999,True,orthorhombic
32759,mp-bqxws,0.8597999999999991,True,monoclinic
32760,mp-brztw,0.9798999999999991,True,orthorhombic
32761,mp-ckxbf,0.070699999999999,False,monoclinic
32762,mp-cqaqt,1.104699999999999,True,orthorhombic
32763,mp-cpals,0.5374999999999991,False,triclinic
32764,mp-cpanc,0.4958,False,triclinic
32765,mp-brgum,0.2737,False,triclinic
32766,mp-brick,0.42249999999999904,False,triclinic
32767,mp-bricm,0.19059999999999902,False,monoclinic
32768,mp-bsbld,0.35609999999999903,False,monoclinic
32769,mp-bsbna,0.49669999999999903,True,monoclinic
32770,mp-bsgpn,0.2974,False,monoclinic
32771,mp-bshbg,0.601,False,triclinic
32772,mp-bsheu,0.44569999999999904,False,monoclinic
32773,mp-bshpu,0.6505000000000001,False,triclinic
32774,mp-bsidl,0.41630000000000006,False,triclinic
32775,mp-bsjrp,0.288799999999999,False,monoclinic
32776,mp-bskir,0.3549,False,triclinic
32777,mp-bwkul,0.021799999999999,False,triclinic
32778,mp-brcxa,2.6847000000000003,False,monoclinic
32779,mp-cpalr,1.3347,False,triclinic
32780,mp-cpamf,0.9035000000000001,False,triclinic
32781,mp-cpaod,1.325699999999999,False,triclinic
32782,mp-cpaoy,0.9885,False,triclinic
32783,mp-brsxl,0.9468000000000001,False,triclinic
32784,mp-brsxn,1.002799999999999,False,triclinic
32785,mp-brsxo,1.0845,False,triclinic
32786,mp-brsxp,0.9026000000000001,False,triclinic
32787,mp-brsxq,0.0352,False,triclinic
32788,mp-brsyh,1.158999999999999,False,triclinic
32789,mp-brsyu,1.1712,False,triclinic
32790,mp-brszk,0.891,False,triclinic
32791,mp-bsimy,1.1678,False,triclinic
32792,mp-bqwcu,0.8466,False,triclinic
32793,mp-cpaln,1.5143,False,trigonal
32794,mp-cpasq,0.902,False,triclinic
32795,mp-culxi,1.6437,False,trigonal
32796,mp-cupdm,1.698299999999999,False,monoclinic
32797,mp-cvcpy,0.7338999999999991,True,triclinic
32798,mp-cvlfm,0.5388000000000001,False,monoclinic
32799,mp-cvotr,0.5538999999999991,False,monoclinic
32800,mp-cvtua,0.5376999999999991,False,monoclinic
32801,mp-cwcso,1.7233,False,trigonal
32802,mp-bqzlb,1.2378,False,trigonal
32803,mp-bscwk,1.3472,False,trigonal
32804,mp-bscyh,1.5865,False,cubic
32805,mp-bsdeq,1.0008,False,orthorhombic
32806,mp-cpamd,1.433599999999999,False,monoclinic
32807,mp-braia,1.395299999999999,False,monoclinic
32808,mp-bxbvq,1.363999999999999,False,monoclinic
32809,mp-bqxau,0.7531000000000001,False,monoclinic
32810,mp-brbsq,0.7018,False,triclinic
32811,mp-cpald,0.915999999999999,False,triclinic
32812,mp-cpale,0.5952000000000001,False,triclinic
32813,mp-cpand,0.5618000000000001,False,triclinic
32814,mp-bqype,1.0143,False,triclinic
32815,mp-bsepn,0.5223,False,triclinic
32816,mp-bseqs,0.523099999999999,False,triclinic
32817,mp-bserq,0.0541,True,triclinic
32818,mp-bsetl,0.322999999999999,False,triclinic
32819,mp-bseto,0.744799999999999,False,triclinic
32820,mp-bseux,0.5648000000000001,True,triclinic
32821,mp-bsgzu,0.3239,True,triclinic
32822,mp-bshzc,0.4796,False,triclinic
32823,mp-bwiod,0.520799999999999,False,triclinic
32824,mp-bwisp,0.46240000000000003,False,triclinic
32825,mp-bwiss,0.6128,False,triclinic
32826,mp-cpakz,0.8944999999999991,False,triclinic
32827,mp-bsdwc,0.34080000000000005,False,triclinic
32828,mp-bsdxc,0.6966999999999991,False,triclinic
32829,mp-bsebn,0.7482000000000001,False,triclinic
32830,mp-bsepi,0.5817,False,triclinic
32831,mp-bsepl,0.5102,False,triclinic
32832,mp-bseqn,0.694299999999999,False,triclinic
32833,mp-bseqq,0.01,False,triclinic
32834,mp-bserl,0.33170000000000005,False,triclinic
32835,mp-bsero,0.074699999999999,False,triclinic
32836,mp-bsets,0.0947,False,triclinic
32837,mp-bseuk,0.31070000000000003,False,triclinic
32838,mp-bseuu,0.0766,False,triclinic
32839,mp-bsfaq,1.1277,False,trigonal
32840,mp-bethe,3.5063,False,monoclinic
32841,mp-bncpx,0.045499999999999007,False,triclinic
32842,mp-ckrmx,1.7283,False,monoclinic
32843,mp-bmzk,1.5154,False,monoclinic
32844,mp-bntf,1.6269,False,monoclinic
32845,mp-betgq,1.757699999999999,False,monoclinic
32846,mp-bhfwv,1.9417,False,trigonal
32847,mp-bobsn,1.6944,False,monoclinic
32848,mp-bmlrn,1.354,False,triclinic
32849,mp-boha,2.4576000000000002,False,triclinic
32850,mp-bfshx,2.4329,True,triclinic
32851,mp-bfsth,2.447,True,monoclinic
32852,mp-bhfb,1.7655,False,tetragonal
32853,mp-crpqy,1.4571,False,triclinic
32854,mp-cbfr,1.6018,False,monoclinic
32855,mp-bnnxf,1.3636,False,triclinic
32856,mp-bntnu,0.5799000000000001,False,triclinic
32857,mp-cqlfd,4.4005,True,trigonal
32858,mp-basg,4.1184,False,trigonal
32859,mp-ckrnn,1.8745999999999992,False,triclinic
32860,mp-bxdgc,0.06470000000000001,False,monoclinic
32861,mp-bnnt,0.09200000000000001,False,monoclinic
32862,mp-brczx,0.3033,False,monoclinic
32863,mp-brdav,1.200899999999999,False,monoclinic
32864,mp-gjrys,0.12199999999999901,False,triclinic
32865,mp-bqxgb,1.5532,False,triclinic
32866,mp-crpek,0.38110000000000005,False,orthorhombic
32867,mp-brapk,2.5502000000000002,True,monoclinic
32868,mp-brydd,2.5678,False,monoclinic
32869,mp-brbnl,2.9399,True,triclinic
32870,mp-brfgs,3.0476,True,triclinic
32871,mp-brfyi,1.2399,False,triclinic
32872,mp-brugs,1.2759,False,triclinic
32873,mp-cpakt,0.0502,False,trigonal
32874,mp-brcqw,0.6675000000000001,True,hexagonal
32875,mp-brdkg,0.7561,False,cubic
32876,mp-braik,1.9797999999999991,False,trigonal
32877,mp-brdpq,1.9444000000000001,False,hexagonal
32878,mp-bscsa,2.3338,True,cubic
