name,entry_id,spacegroup,ntypes,band_gap,delta_e,stability
LiAlO2,5487,R-3m,3,6.673,-2.93298964543938,0.01958041937499777
BaO,3061,P4/nmm,2,3.593,-2.54295045793938,0.14357555015625012
SrFeO2,26573,P4/mmm,3,0.0,-2.26755776754294,0.0030548674999963943
LiGaO2,5507,R-3m,3,4.198,-2.17751749668938,0.06495732999999726
O,20846,P63/mmc,1,0.0,0.0978031987500003,0.0978031987500003
CdHgO2,13429,C2/m,3,0.667,-0.863034931680944,0.025198297500000022
BaSrO2,22179,P4/mmm,3,2.407,-2.76113920793938,0.05493307257812541
BaCaO2,22182,P4/mmm,3,2.132,-2.73560776793938,0.2056311325781235
WO3,18878,Pm-3m,2,0.784,-2.41885696940907,0.02691428500000015
MgO,20575,P63mc,2,3.634,-2.90752877752271,0.03876078000000005
SrCaO2,22176,P4/mmm,3,3.351,-3.01844659793938,0.0523385749999985
YCuO2,11368,R-3m,3,3.198,-2.63867609961113,0.0007765674999999916
LiRhO2,5699,R-3m,3,1.547,-1.42627049543938,0.004616282065696087
NdNiO2,16771,P4/mmm,3,0.0,-2.3137747682988,0.25951374950778616
NiHO2,21576,Cm,3,0.578,-0.994526255094842,0.09561552281249919
BaO,22045,P63/mmc,2,2.483,-2.65650350543938,0.030022502656250172
CuO,12668,Cc,2,0.0,-0.802799946282876,0.028734460000001016
CsIO3,6316,Pm-3m,3,0.0,0.730957771987084,1.9719148939999998
NaTaO3,5554,Pm-3m,3,2.548,-2.91635288969758,0.01516852900000032
NaTlO2,4772,R-3m,3,0.846,-1.31656839690229,0.0
NaVO2,26833,R-3m,3,1.769,-2.40462210697344,0.002959957499999888
CuO2,16596,C2/m,2,0.0,-0.411173391148169,0.16132752237217673
ScBiO3,20169,Pm-3m,3,1.047,-2.29434356152725,0.3463650627499999
BaIrO3,11990,Pm-3m,3,0.0,-1.70404896952725,0.14836233599999993
KCrO2,18926,R-3m,3,2.912,-2.16765796150419,0.004056862500001479
SrVO3,18928,Pm-3m,3,0.0,-2.84874172058417,0.050806935000005105
