name,entry_id,spacegroup,ntypes,band_gap,delta_e
CuO2,16596,C2/m,2,0.0,-0.411173391148169
ScBiO3,20169,Pm-3m,3,1.047,-2.29434356152725
BaIrO3,11990,Pm-3m,3,0.0,-1.70404896952725
KCrO2,18926,R-3m,3,2.912,-2.16765796150419
SrVO3,18928,Pm-3m,3,0.0,-2.84874172058417
LaAlO3,5555,R-3m,3,3.615,-3.55336915352725
NdAlO3,6610,R-3m,3,3.123,-3.48295229652725
VCl2O,4619,Immm,3,0.974,-1.8261710756004
Na3ClO,12273,Pm-3m,3,2.245,-1.67997326681056
NaVO2,26834,C2/m,3,1.527,-2.40415364197344
RbTlO2,6278,R-3m,3,1.151,-1.18965219418938
NaTaO3,5553,Cmmm,3,2.55,-2.91481871169758
Li3BrO,12263,Pm-3m,3,4.663,-1.84262149665892
BaPaO3,11467,Pm-3m,3,1.848,-3.07863041152725
PrAlO3,6609,R-3m,3,3.03,-3.47900221302725
KTaO3,7149,Pm-3m,3,2.362,-2.91873576252725
K3BrO,6392,Pm-3m,3,1.181,-1.48715219565892
CaTiO3,6126,Pm-3m,3,1.881,-3.2903997162845
SrNbO3,7656,Pm-3m,3,0.0,-3.01246457352725
ZrTaNO,13639,P-6m2,4,0.0,-1.28002739030557
SrCrO3,18946,Pm-3m,3,0.0,-2.5299322553791
HfPbO3,20456,Pm-3m,3,2.718,-2.79935192852725
BaTiO3,13238,R3m,3,2.206,-3.28668699628451
LaAlO3,6611,R-3m,3,3.713,-3.55342719152725
RbUO3,16895,Pm-3m,3,2.997,-3.11086555603207
LaCrO3,7410,Pm-3m,3,1.81,-3.0812347813791
NdVO3,5640,Pm-3m,3,0.0,-2.95933658758417
SrHgO2,20905,R-3m,3,2.394,-1.88784440918094
KNbO3,2517,P4mm,3,1.727,-2.69277059652725
Ca3SnO,22278,Pm-3m,3,0.0,-1.74723239254599
KUO3,8436,Pm-3m,3,2.996,-3.13726971903207
Rb3AuO,13573,Pm-3m,3,0.24,-0.771227977175751
CeVO3,5638,Pm-3m,3,0.0,-2.98208725408417
PrVO3,5639,Pm-3m,3,0.0,-2.97248840808417
NaRhO2,12126,R-3m,3,1.286,-1.36083727065229
NaCNO,5255,R3m,4,4.691,-1.12822676739348
Li2NiO2,13268,P-3m1,3,4.07,-1.69025944163904
LaTiO3,5628,Pm-3m,3,0.0,-3.4135604062845
CeCrO3,5642,Pm-3m,3,1.619,-2.9919613868791
BaMoO3,8209,Pm-3m,3,0.0,-2.58380821952725
InBiO3,20168,Pm-3m,3,0.0,-1.17726902452725
LaVO3,5637,Pm-3m,3,0.0,-3.08124856058417
NbAgO3,9999,Pm-3m,3,1.599,-1.98946144302725
NdCrO3,5644,Pm-3m,3,1.794,-2.9764818243791
Yb2SO2,19147,P-3m1,3,0.0,-2.28089919115417
RbO,4778,Immm,2,2.11,-1.20215315543938
TiPbO3,19719,Pm-3m,3,1.572,-2.49302405228451
SmCrO3,5645,Pm-3m,3,1.754,-2.9508059828791
LaAlO3,19752,Pm-3m,3,3.585,-3.55441258352725
PrCrO3,5643,Pm-3m,3,1.906,-2.9864463688791
NaTiO2,8092,R-3m,3,0.0,-2.67627829159886
KTlO2,6277,R-3m,3,1.249,-1.25599002043938
BaFeO3,5630,R-3m,3,0.0,-2.0918701572101
BaPuO3,8208,Pm-3m,3,2.125,-3.26498145051591
LiCuO2,13475,C2/m,3,0.632,-1.31686260086113
SrRuO3,23872,P4/mmm,3,0.0,-1.97952143952725
NaRuO2,21623,R-3m,3,0.0,-1.30902120065229
MgH2O2,6441,P-3m1,3,4.612,-1.91129370305851
NaMoO2,21175,R-3m,3,0.0,-1.85261917065229
Ba3SnO,22279,Pm-3m,3,0.0,-1.49516659054599
TlClO3,13758,R3m,3,4.593,-0.613296185651077
SrTcO3,19000,Pm-3m,3,0.0,-2.28878191852725
BaTiO3,5424,Pm-3m,3,1.689,-3.27980267828451
BaFeO3,5676,Pm-3m,3,0.0,-2.0952342452101
Li2NiO2,12776,P-3m1,3,4.067,-1.69166842563904
AgCNO,5379,Cmmm,4,0.0,2.15983326594443
CdH2O2,20960,P-3m1,3,1.911,-1.20159365722517
AgNO2,4461,Imm2,3,1.445,-0.390726903650254
TiPbO3,1960,P4mm,3,1.589,-2.51383684028451
Lu2SO2,19148,P-3m1,3,3.285,-3.47948282515417
MnH2O2,4364,P-3m1,3,1.806,-1.54004162166755
OsCl2O,15020,Immm,3,0.0,-0.93941850927925
BaTiO3,3105,P4mm,3,1.69,-3.28392896228451
TlIO3,11567,R3m,3,2.587,-0.831032483012916
BaTiO3,5423,P4/mmm,3,1.685,-3.28005576628451
SrRuO3,12601,Pm-3m,3,0.0,-1.97839252552725
LaFeO3,5683,Pm-3m,3,0.0,-2.6556227252101
LaMnO3,5684,Pm-3m,3,0.0,-2.85875525796963
